id,com_type,sentence,year,label,orig_index
22,mm,"A number of business contacts indicated that they were passing on at least a portion of these higher costs to their customers or that they planned to try to do so later this year; however, contacts were uncertain about the extent to which they could raise prices, given current market conditions and the cautious attitudes toward spending still held by households and businesses.",2014,1,22
23,mm,"A number of global factors were seen as contributing to downward pressure on term premiums, including central bank asset purchase programs and the strong worldwide demand for safe assets.",2014,1,23
24,mm,A number of participants indicated that the Committee should resume asset purchases only if substantially adverse economic circumstances warranted greater monetary policy accommodation than could be provided by lowering the federal funds rate to the effective lower bound.,2014,0,24
25,mm,"A number of participants noted that continued high unemployment, particularly with large numbers of workers suffering very long spells of unemployment, would lead to an erosion of workers' skills that would have adverse consequences for those workers and for the economy's potential level of output in the longer term.",2003,0,25
26,mm,A number of participants stressed that recently enacted fiscal support would help address some of the hardships faced by these groups and that monetary policy would also help by promoting the economy's return to the Committee's goals of broad-based and inclusive maximum employment and price stability.,2003,0,26
27,mm,"A potential negative cited by some members was the possibility that a weak job market, should it persist, would at some point adversely affect overall consumer sentiment and willingness to spend.",2003,0,27
28,mm,"A surge in nonfarm business inventory investment accounted for a substantial portion of the acceleration in output in the first quarter, and an anticipated moderation in the accumulation of inventories was an important element in forecasts of greatly reduced economic growth in the current quarter.",2003,0,28
29,mm,"A variety of indicators, along with anecdotal reports, suggested that employment was expanding at a fairly good pace and labor compensation was rising moderately.",2003,1,29
30,mm,A widespread view that the Federal Reserve would take whatever steps were needed to hold down inflation over time probably had contributed to the persistence of subdued long-run inflation expectations during an extended period when rapidly rising demand was pressing on limited supply resources.,2022,2,30
31,mm,"Accordingly, considerable caution needed to be exercised in assessing the outlook for productivity and in relying on projections of the economy and prices, which necessarily embodied judgments about this outlook, in making monetary policy.",2022,2,31
32,mm,"Accordingly, in the context of the Committee's long-run objectives for price stability and sustainable economic growth, and giving careful consideration to economic, financial, and monetary developments, the Committee decided that a slightly higher federal funds rate might be acceptable or a somewhat lower federal funds rate would be acceptable during the intermeeting period.",2022,2,32
33,mm,"Accordingly, in the context of the Committee's long-run objectives for price stability and sustainable economic growth, and giving careful consideration to economic, financial, and monetary developments, the Committee decided that a slightly higher or a slightly lower federal funds rate might be acceptable during the intermeeting period.",2022,2,33
34,mm,"Accordingly, much stronger growth in such investment could occur, with concomitant effects on incomes and the growth of overall spending.",2022,1,34
35,mm,"Advances in productivity had boosted profit margins, and high margins were helpful in that they could absorb some portion of any cost increases for a time.",2015,2,35
36,mm,"After deteriorating further early in the period, foreign equity prices bounced back and credit spreads on emerging market bonds narrowed, in both cases returning to December levels in most countries.",2015,2,36
37,mm,"After falling steeply before the August FOMC meeting, emerging market equity prices were little changed, on net, over the period.",2015,2,37
38,mm,"After robust growth in the second quarter, M2 decelerated somewhat and M3 was about unchanged in July.",2015,1,38
39,mm,"Against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the Committee believes that the risks continue to be weighted mainly toward conditions that may generate economic weakness in the foreseeable future.",2015,0,39
40,mm,"Against this background, the members agreed on the need to continue to monitor the economy with care for signs either of a potential upturn in inflation or greater softness in the expansion than they were currently forecasting and to be prepared to respond promptly in either direction.",1997,2,40
41,mm,"Against this background, the risks in the outlook for prices also seemed to be tilted toward somewhat higher inflation.",1997,1,41
42,mm,All members agreed that the FOMC statement for this meeting should again indicate that policy accommodation could be removed at a pace that was likely to be measured but that the Committee would respond to changes in economic prospects as needed to maintain price stability.,1997,1,42
43,mm,All members agreed that the risks to achieving the anticipated reduction in inflation remained of greatest concern.,1997,1,43
44,mm,All members agreed that the statement to be released after the meeting should convey that inflation risks remained dominant and that consequently keeping policy unchanged at this meeting did not necessarily mark the end of the tightening cycle.,1997,1,44
45,mm,Almost all participants reaffirmed the view that further gradual increases in the target range for the federal funds rate would likely be consistent with sustaining the Committee's objectives of maximum employment and price stability.,2001,1,45
46,mm,"Also, in the view of a number of participants, the economy was possibly producing in the neighborhood of its potential, and the persistent strength in spending of late suggested that resource markets could tighten further and inflation pressures build.",2001,1,46
47,mm,"Also, the recent evidence could be interpreted as indicating that the surprisingly sharp decline in measured inflation in 2003 exaggerated the drop in the underlying rate of inflation.",2001,0,47
48,mm,"Although a spike in energy prices eroded real income growth in the second quarter, there were solid gains in wages and salaries.",2001,1,48
49,mm,"Although growth in output and employment slowed during the first quarter, the Committee continues to expect that, with appropriate policy accommodation, economic activity will expand at a moderate pace, with labor market indicators continuing to move toward levels the Committee judges consistent with its dual mandate.",2001,0,49
50,mm,"Although higher energy and other costs had the potential to add to inflation pressure, core inflation had been relatively low in the preceding few months and longer-term inflation expectations remained contained.",2005,2,50
51,mm,"Although inflation remained remarkably subdued and any increase in inflationary pressures likely would tend to emerge only slowly, the strength in demand had developed against the backdrop of financial conditions that, broadly considered, were not substantially different from those now prevailing.",2005,0,51
52,mm,"Although many participants remained concerned about downside risks attending the outlook for inflation, a majority of participants saw the risks to the outlook for inflation as balanced.",2005,2,52
53,mm,"Although members generally saw little risk that maintaining very low short-term interest rates could raise inflation expectations or create instability in asset markets, they noted that it was important to remain alert to these risks.",2005,0,53
54,mm,"Although participants considered it unlikely that the economy would reenter a recession, many expressed concern that output growth, and the associated progress in reducing the level of unemployment, could be slow for some time.",2005,0,54
55,mm,"Although participants had revised downward their projections for growth since their previous forecasts in June, they continued to anticipate that economic growth would pick up and the unemployment rate would decline gradually through 2014.",2000,2,55
56,mm,"Although productivity growth had slowed from the extraordinarily rapid pace that prevailed earlier in the expansion, data for the fourth quarter of 2004, as well as preliminary indications for the first quarter of this year, suggested that gains from efficiency remained substantial.",2000,2,56
57,mm,"Although prospects for economic activity had not deteriorated significantly since the March meeting, the outlook for growth and employment remained weak and slack in resource utilization was likely to increase.",2000,0,57
58,mm,"Although readings on core inflation had improved modestly since the spring, nearly all participants viewed core inflation as uncomfortably high and stressed the importance of further moderation.",2000,1,58
59,mm,"Although real growth was likely to be moderate in coming quarters, in his view it was unlikely to be slow enough to bring core inflation down.",2000,1,59
60,mm,"Although single-family housing starts had come down substantially from their peak, the drop had lagged the decline in demand, and as a result, inventories of new homes had risen considerably.",2015,0,60
61,mm,"Although some decline in inflation could not be ruled out, persistence of the current degree of tightness in labor markets, consistent with the economy growing at a pace near its potential, could at some point begin to put more pressure on costs and prices, and growth somewhat above potential, which some members saw as a distinct possibility, would be even more likely to produce that result.",2015,1,61
62,mm,"Although some members noted that a case could be made that the risks to inflation were now somewhat skewed to the upside and those to sustainable economic growth perhaps to the downside, the most likely outcome remained one of stable prices and sustainable growth, and the Committee agreed that it should retain a balanced assessment of risks conditional on appropriate policy.",2015,2,62
63,mm,"Although some of the recent data on economic activity had been better than anticipated, most participants saw the incoming information as broadly in line with their earlier projections for moderate growth; accordingly, their views on the economic outlook had not changed appreciably.",2015,2,63
64,mm,"Although the aggregate balance sheet for the household sector was strong and the unemployment rate was low, consumer sentiment had deteriorated, and households were reportedly becoming more cautious in their expenditure decisions in light of uncertainty about the economic outlook and the reduction in purchasing power induced by price rises, particularly increases in the prices of essentials such as food, housing, and transportation.",2015,1,64
65,mm,"Although the initial offerings of these securities were well received, investor demand at the most recent sales was not as strong, a development consistent with the declines in the prices of non-agency residential mortgage-backed securities over the intermeeting period.",2018,1,65
66,mm,"Although the moderation in the growth of aggregate demand would help limit inflation pressures over time, the Committee judged that some inflation risks remained.",2018,1,66
67,mm,"Although the near-term economic outlook is weak, the Committee anticipates that policy actions to stabilize financial markets and institutions, together with fiscal and monetary stimulus, will contribute to a gradual resumption of sustainable economic growth.",2018,0,67
68,mm,"Although the pace of job losses was moderating, the unusually large fraction of those who were working part time for economic reasons and the unusually low level of the average workweek pointed to only a gradual decline in the unemployment rate as the economic recovery proceeded.",2018,0,68
69,mm,"Although the required amount of cumulative tightening may have increased, members noted that an accelerated pace of policy tightening did not appear necessary at this time, as a degree of economic slack apparently remained, productivity growth would probably continue to damp increases in unit labor costs and prices, and inflation would most likely continue to be contained.",2018,2,69
70,mm,Although the unemployment rate edged up to 5.,2017,0,70
71,mm,"Although the unemployment rate has declined somewhat since the summer, it remains elevated.",2017,0,71
72,mm,"Al­though core inflation and the 12-month trimmed mean PCE inflation rate calculated by the Federal Reserve Bank of Dallas remained a little below 2 percent, many participants anticipated that high levels of resource utilization and stable inflation expectations would keep overall inflation near 2 percent over the medium term.",2017,2,72
73,mm,An anticipated sharp slowdown in the pace of inventory accumulation also would damp domestic production as the growth of stocks was brought into balance with the expected more moderate trajectory of final sales.,2017,2,73
74,mm,An easing of supply constraints was expected to support continued gains in economic activity and employment as well as a reduction in inflation.,2017,2,74
75,mm,An easing of supply constraints was expected to support continued gains in economic activity and employment as well as a reduction in inflation.,2002,2,75
76,mm,"An environment involving such interest rates could have adverse repercussions on the functioning of some sectors of the money market, but the members agreed that the potential extent of such disruptions would not be sufficient to prevent the Committee from taking advantage of the full scope of conventional easing of the federal funds rate, should that become necessary.",2002,0,76
77,mm,An upside risk was that inflation could increase more than expected in an economy that was projected to move further above its potential.,2002,1,77
78,mm,Another factor viewed as likely to exert a moderating effect on the growth of economic activity was the expectation of some slowing in inventory investment.,2002,2,78
79,mm,"Another participant mentioned, however, that recent sluggish growth of the monetary aggregates suggested that the stance of policy was not overly accommodative.",2002,0,79
80,mm,Any such rise in inflation expectations and associated upward pressure on inflation itself would likely prove costly to reverse.,2015,1,80
81,mm,"Apart from notably adverse business sentiment and disappointing growth in sales and profits, factors that were curbing capital expenditures cited by members included persisting capital overhangs stemming from what were now seen as excessive earlier buildups in equipment and software and substantial idle capacity in many industrial and commercial structures.",2015,0,81
82,mm,"As a result, as in the January forecast, real GDP was expected to rise at a moderate pace over 2011 and 2012, supported by accommodative monetary policy, increasing credit availability, and greater household and business confidence.",2015,0,82
83,mm,"also, continued solid economic growth abroad was expected to boost the growth of U. S. exports for some period ahead.",2015,-,83
84,mm,"in contrast, however, overall business investment in equipment and software was projected to strengthen in response to the upward trend in replacement demand, especially for computers and software",2015,-,83
85,mm,"As a result, growth of spending on consumer durables and houses was expected to slow",2015,-,83
86,mm,"As a result, growth of spending on consumer durables was expected to be appreciably below the rapid pace in the first half of last year, and housing demand would increase only a little from its recent level.",2015,2,84
87,mm,"As a result, most market interest rates rose somewhat in the period after the November 16 meeting.",2013,1,85
88,mm,"As a result, the likely pace and extent of policy easing expected by investors increased, and yields on nominal and inflation-indexed Treasury coupon securities fell.",2013,0,86
89,mm,"As long as the Federal Reserve is required to set and report ranges for money and debt growth, it should update them as appropriate.",2013,2,87
90,mm,"As reflected in their SEP projections, participants regarded the current stance of monetary policy as likely to remain appropriate for a time as long as incoming information about the economy remained broadly consistent with the economic outlook.",2013,2,88
91,mm,"As yields on inflation-indexed Treasury securities rose roughly in line with their nominal counterparts, longer-term inflation compensation remained about unchanged.",2013,2,89
92,mm,"At earlier stages of processing, the producer price index for core intermediate materials continued to decline through May, albeit at a slower pace than that seen at the end of 2008.",2016,0,90
93,mm,"At longer maturities, yields drifted lower over most of the intermeeting period in response to incoming data that suggested economic growth would remain moderate and inflation subdued,",2016,-,91
94,mm,they rebounded late in the period in response to the release of firmer economic data and growing concerns regarding the sustainability of current domestic asset prices.,2016,-,91
95,mm,"At the conclusion of the discussion, the Committee voted to authorize and direct the Federal Reserve Bank of New York, until it was instructed otherwise, to execute transactions in the SOMA in accordance with the following domestic policy directive: ""Consistent with its statutory mandate, the Federal Open Market Committee seeks monetary and financial conditions that will foster maximum employment and price stability.",2016,0,92
96,mm,"At the conclusion of the discussion, the Committee voted to authorize and direct the Federal Reserve Bank of New York, until it was instructed otherwise, to execute transactions in the SOMA in accordance with the following domestic policy directive: ""Consistent with its statutory mandate, the Federal Open Market Committee seeks monetary and financial conditions that will foster maximum employment and price stability.",2016,0,93
97,mm,"At the conclusion of the discussion, the Committee voted to authorize and direct the Federal Reserve Bank of New York, until it was instructed otherwise, to execute transactions in the SOMA in accordance with the following domestic policy directive: ""Consistent with its statutory mandate, the Federal Open Market Committee seeks monetary and financial conditions that will foster maximum employment and price stability.",2016,0,94
98,mm,"At the conclusion of the discussion, the Committee voted to authorize and direct the Federal Reserve Bank of New York, until it was instructed otherwise, to execute transactions in the System Account in accordance with the following domestic policy directive: ""Consistent with its statutory mandate, the Federal Open Market Committee seeks monetary and financial conditions that will foster maximum employment and price stability.",2009,0,95
99,mm,"At the conclusion of the discussion, the Committee voted to authorize and direct the Federal Reserve Bank of New York, until it was instructed otherwise, to execute transactions in the System Account in accordance with the following domestic policy directive: ""The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output.",2009,1,96
100,mm,"At the conclusion of the discussion, the Committee voted to authorize and direct the Federal Reserve Bank of New York, until it was instructed otherwise, to execute transactions in the System Account in accordance with the following domestic policy directive: ""The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output.",2009,1,97
101,mm,"At the conclusion of the discussion, the Committee voted to authorize and direct the Federal Reserve Bank of New York, until it was instructed otherwise, to execute transactions in the System Account in accordance with the following domestic policy directive: ""The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output.",2009,1,98
102,mm,"At the conclusion of the discussion, the Committee voted to authorize and direct the Federal Reserve Bank of New York, until it was instructed otherwise, to execute transactions in the System Account in accordance with the following domestic policy directive: ""The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output.",2009,1,99
103,mm,"At the conclusion of the discussion, the Committee voted to authorize and direct the Federal Reserve Bank of New York, until it was instructed otherwise, to execute transactions in the System Account in accordance with the following domestic policy directive: ""The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output.",1999,1,100
104,mm,"At the conclusion of the discussion, the Committee voted to authorize and direct the Federal Reserve Bank of New York, until it was instructed otherwise, to execute transactions in the System Account in accordance with the following domestic policy directive: ""The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output.",1999,1,101
105,mm,"At the conclusion of the discussion, the Committee voted to authorize and direct the Federal Reserve Bank of New York, until it was instructed otherwise, to execute transactions in the System Account in accordance with the following domestic policy directive: The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output.",1999,1,102
106,mm,"At the conclusion of the discussion, the Committee voted to authorize and direct the Federal Reserve Bank of New York, until it was instructed otherwise, to execute transactions in the System Account in accordance with the following domestic policy directive: The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output.",1999,1,103
107,mm,"At the conclusion of this discussion, the Committee voted to authorize and direct the Federal Reserve Bank of New York, until it was instructed otherwise, to execute transactions in the System Account in accordance with the following domestic policy directive: The information reviewed at this meeting suggests that the expansion in economic activity is still robust.",1999,2,104
108,mm,"At the same time, business firms generally were not raising their prices sufficiently to compensate for faster increases in their labor costs, to the extent that the latter were occurring, evidently because of the persistence of intense competition in most markets.",2021,1,105
109,mm,"At the same time, however, the near-term outlook for inflation had deteriorated, and the risks that underlying inflation pressures could prove to be greater than anticipated appeared to have risen.",2021,1,106
110,mm,"At the same time, however, the staff increased the growth rate forecast for 2006 to reflect the boost to economic activity from the rebuilding effort.",2021,1,107
111,mm,"At the same time, the incentive to take advantage of increasingly efficient high-tech equipment and software typically available at declining prices would continue to provide an important underpinning for further large gains in investment spending, with favorable implications for continued rapid growth in productivity.",2021,2,108
112,mm,"At the same time, the staff viewed the risks around its outlook for the unemployment rate as roughly balanced.",2021,2,109
113,mm,"At the same time, the staff viewed the risks around its outlook for the unemployment rate as roughly balanced.",2018,2,110
114,mm,"At the same time, the staff viewed the risks around its outlook for the unemployment rate as roughly balanced.",2018,2,111
115,mm,"Auctions of GSE debt following the conservatorship announcement reportedly attracted heavy demand, but market participants indicated that liquidity in the secondary market for GSE debt remained somewhat lower than normal.",2018,2,112
116,mm,"Available information suggested that economic activity in the major foreign industrial countries continued to advance, but at an uneven pace; in Germany, activity rebounded from the contraction in the first quarter, while in Japan a considerable slowing of growth had occurred in the second quarter after very rapid expansion in the first quarter.",2018,2,113
117,mm,"Beyond 2017, the forecast for real GDP growth was little revised.",2018,2,114
118,mm,Both of these views would suggest a lower level of potential output and thus reduced scope for combating unemployment with additional monetary policy stimulus.,2011,0,115
119,mm,"Both total and core inflation were projected to move up slightly next year, as the low readings early this year were expected to be transitory, but nevertheless to continue to run below 2 percent.",2011,0,116
120,mm,"Broad U. S. stock price indexes declined, on net, over the intermeeting period, apparently in response to the downbeat economic data.",2011,0,117
121,mm,"Broad equity price indexes decreased slightly, on net, as substantial early gains arising from investors' improved perceptions about the inflation outlook and better-than-feared second-quarter earnings were more than offset by later losses arising from expectations that the Committee would follow a more restrictive policy than previously expected.",2011,1,118
122,mm,Broad equity price indexes fell sharply over the intermeeting period on net.,2011,2,119
123,mm,"Broad equity price indexes were higher over the intermeeting period, amid heightened volatility.",1999,2,120
124,mm,"Broad equity prices rose, adding to their substantial gains since the middle of 2010.",1999,2,121
125,mm,"Broad stock price indexes rose, on net, over the intermeeting period, as investors responded to strong second-quarter earnings reports and indications that the economy may be stabilizing.",1999,2,122
126,mm,"Broad stock price indexes rose, on net, over the intermeeting period, boosted in part by favorable earnings reports from the retail sector.",1999,2,123
127,mm,Business contacts in a few Districts reported that they had begun to have some more ability to raise prices to cover higher input costs.,1999,1,124
128,mm,"Business contacts in a number of Districts noted an improvement in housing activity and a continued rise in house prices, although their reports showed that the pace of sales and construction varied across regions.",2000,1,125
129,mm,"Business spending on equipment and structures was anticipated to continue to outpace the overall expansion of the economy, though the differential would tend to narrow over time in association with the gradual diminution of increases in sales and profits that was expected to be associated with moderating economic growth.",2000,2,126
130,mm,"Businesses added a bit to their inventory positions after an extended period of sizable declines, but final sales changed little: business capital spending weakened somewhat further while growth in consumer spending, residential housing expenditures, and government outlays slowed.",2000,2,127
131,mm,But equity prices were only holding their own after a substantial decline earlier and the dollar had appreciated.,2000,0,128
132,mm,"But the members generally were concerned that inflation might begin to rise over the intermediate term, especially if labor markets tightened further.",2000,1,129
133,mm,"By 2009, the forecasts for both the headline and core PCE price indexes showed inflation receding from its 2008 level, in line with the previous forecasts.",2022,2,130
134,mm,"By contrast, economic activity in China and other developing countries showed greater buoyancy.",2022,2,131
135,mm,"By the same token, the rate of price inflation was lower than had been reported, consistent with the findings of a number of studies of distortions in published price data.",2022,2,132
136,mm,"Clearly, businesses regarded such investments as highly profitable, and they appeared to be leading to gains in productivity that in turn were helping to offset rising compensation and to maintain profit margins in highly competitive markets.",2022,2,133
137,mm,Committee Policy Action Committee members saw the information received over the intermeeting period as suggesting that economic activity was expanding at a moderate pace.,2022,1,134
138,mm,"Committee Policy Action In their discussion of monetary policy for the period ahead, Committee members agreed that the stance of monetary policy should not be changed at this meeting.",2007,2,135
139,mm,"Committee Policy Action In their discussion of monetary policy for this meeting, members agreed that the coronavirus outbreak was causing tremendous human and economic hardship across the United States and around the world.",2007,0,136
140,mm,Committee Policy Action Members viewed the information on U. S. economic activity received over the intermeeting period as suggesting that the economy had been expanding moderately and generally agreed that the economic outlook was broadly similar to that at the time of their March meeting.,2007,2,137
141,mm,Communications about monetary policy over the intermeeting period generally had little effect on Treasury yields or the expected path of the federal funds rate.,2007,2,138
142,mm,"Compared with the baseline, the disruption to economic activity was more severe and protracted in this scenario, with real GDP and inflation lower and the unemployment rate higher by the end of the medium-term projection.",2007,0,139
143,mm,"Conditions in the commercial paper (CP) market improved over the intermeeting period, likely reflecting recent measures taken in support of this market, greater demand from institutional investors, and the passing of year-end.",1996,0,140
144,mm,"Consistent with its statutory mandate, the Committee seeks to foster maximum employment and price stability.",1996,0,141
145,mm,"Consistent with the Committee's decision to leave the target range for the federal funds rate unchanged, the Board of Governors voted unanimously to leave the interest rates on required and excess reserve balances at 0.",1996,2,142
146,mm,"Consistent with the optimism driving stock prices, spreads of corporate bond yields over comparable-maturity Treasury yields narrowed markedly across the credit spectrum, most notably for debt securities of the lowest credit quality firms.",1996,0,143
147,mm,"Consistent with the view that recent lower inflation readings could be temporary, a number of participants mentioned the trimmed mean measure of PCE price inflation, produced by the Federal Reserve Bank of Dallas, which removes the influence of unusually large changes in the prices of individual items in either direction; these participants observed that the trimmed mean measure had been stable at or close to 2 percent over recent months.",1996,2,144
148,mm,"Construction employment posted another large increase, probably owing in part to hurricane-related activity.",2006,2,145
149,mm,"Consumer credit continued to increase at a steady pace, with similar growth rates across credit card, automobile, and student loans.",2006,1,146
150,mm,"Consumer credit jumped in May and remained strong in June, reflecting a rebound in credit card balances and continued robust growth in auto loans.",2006,2,147
151,mm,Consumer food prices were little changed in August.,2006,2,148
152,mm,"Consumer price inflation continued to run below the Committee's longer-run objective of 2 percent, restrained in part by earlier decreases in energy prices and in prices of non-energy imports.",2006,0,149
153,mm,Consumer price inflation had remained relatively subdued over the summer months.,2012,0,150
154,mm,"Consumer price inflation remained subdued in November, with both the overall index and the index excluding food and energy items rising at the same relatively low rates as in October.",2012,0,151
155,mm,Consumer price inflation was being held down by weaker demand and significantly lower oil prices.,2012,0,152
156,mm,"Consumer price inflation, as measured by the 12-month percentage change in the price index for personal consumption expenditures (PCE), was below 2 percent in July.",2012,0,153
157,mm,year-over-year consumer inflation remained at a very low level.,2012,-,154
158,mm,"Consumer prices had edged up in recent months,",2012,-,154
159,mm,"Consumer prices jumped in October, as hurricane damage contributed to higher prices for food and energy.",2014,1,155
160,mm,"Consumer sentiment was at or close to historically high levels according to recent surveys, evidently reflecting the strong uptrend in employment and income and to some extent the very large cumulative increase in stock market wealth over the course of recent years.",2014,1,156
161,mm,Consumer spending firmed somewhat during the first quarter despite the rising unemployment rate and significant financial strains.,2014,0,157
162,mm,"Consumer spending was projected to increase at a rate generally in line with the anticipated rise in disposable income; the favorable effects on household wealth of the advance that had occurred in stock prices and the ample availability of credit for most borrowers were expected to balance the damping effects of continuing consumer concerns about the adequacy of their savings, the security of their jobs, and the extent of their debt burdens.",2014,2,158
163,mm,"Continued gains in employment and income, high household net worth, and low gasoline prices were viewed as factors that should support consumer spending in coming months.",2014,1,159
164,mm,overall consumer prices had been pushed up recently by sharp rises in energy prices.,2000,-,160
165,mm,"Core consumer inflation had moved lower,",2000,-,160
166,mm,"Core consumer price inflation continued to slow, and inflation expectations remained subdued over the closing months of 2003.",2000,0,161
167,mm,"Core inflation was then expected to edge down in 2009 as the impetus from prior increases in the prices of imports, energy, and other commodities abated and the margin of slack in resource use widened.",2000,0,162
168,mm,Core measures of price inflation had moved up over recent quarters and particularly so over the last few months.,2000,1,163
169,mm,"Core price inflation was projected to rise a little over the forecast horizon, in part as a result of higher import prices",2000,-,164
170,mm,largely as a consequence of further increases in nominal labor compensation gains that would not be fully offset by growth in productivity.,2000,-,164
171,mm,"Credit conditions in the commercial real estate (CRE) sector continued to ease, and growth in CRE loans at banks stayed solid.",2016,1,165
172,mm,"Crude oil prices continued to rise, reaching record levels in nominal terms over the intermeeting period.",2016,1,166
173,mm,"Crude oil prices, though volatile, had not risen appreciably in recent months on balance, and a flattening in energy prices was beginning to damp headline inflation.",2016,2,167
174,mm,Data received over the intermeeting period reinforced earlier indications that real GDP growth had turned up after having been slow in the first quarter of this year.,2016,2,168
175,mm,"Demand-pull inflation pressures from emerging-market economies abroad appeared to be continuing, and anecdotal reports from business contacts suggested greater willingness domestically to pass rising costs through to prices.",2016,1,169
176,mm,"Depository institutions continued to bid aggressively for 28-day funds at the Term Auction Facility (TAF) during the intermeeting period, and demand for funds was strong at both of the 84-day TAF auctions.",1999,0,170
177,mm,"Despite a large increase in the overall consumer price index for September, measures of inflation compensation calculated using yields on nominal and inflation-protected Treasury securities were about unchanged over the intermeeting period, although they remained a bit above the levels seen before Hurricane Katrina.",1999,1,171
178,mm,"Despite a recent uptick in consumer prices, year-over-year consumer inflation remained at a very low level.",1999,0,172
179,mm,"Despite further declines in vacancy rates and rising real estate prices, business spending on nonresidential construction also seemed to have been lackluster, with such activity not having changed much since last summer.",1999,2,173
180,mm,"Despite the substantial monetary easing that had been implemented already and the fiscal stimulus, including federal tax rebates, that was in train, the forecast anticipated that sluggish hiring and the decline in household wealth would restrain the growth of both consumer spending and housing demand.",1999,0,174
