sentence,id,llm_label,llm_label_name
"Nonetheless, considerable uncertainty surrounded expectations of rising inflation.",110,1,hawkish
"Nonetheless, on balance, most members currently considered the upside risks to inflation to be a bit less pressing than those on the downside for the next few quarters.",111,0,dovish
"Nonetheless, the potential for significant further weakening in housing activity and home prices represented a downside risk to the economic outlook.",112,0,dovish
"Nonetheless, those restraining influences were expected to abate over time and economic activity strengthen gradually.",113,1,hawkish
"Nonetheless, with the unemployment rate anticipated to increase somewhat during the remainder of 2009 and to decline only gradually in 2010, the staff still expected core PCE inflation to slow substantially over the forecast period; the very low readings on hourly compensation lately suggested that such a process might already be in train.",114,0,dovish
"Nonfarm payroll employment increased sharply further in January and February, and the civilian unemployment rate, at 4.",115,1,hawkish
"On the more positive side, there were no signs that the pace of productivity gains was currently leveling out and no evidence of rising longer-term inflation expectations.",116,0,dovish
"On the other hand, if recent productivity gains were to be sustained, as some business contacts indicated they would be, potential output currently could be higher than standard measures suggested, and the high level of the unemployment rate could be a more accurate indication of slack in resource utilization than usual measures of the output gap.",117,0,dovish
One participant suggested that the economic projections would be more understandable if they were based on a common interest rate path.,118,2,neutral
"Overall employment gains were relatively well maintained, and labor markets were still tight though showing signs of softening.",119,1,hawkish
Participants commented on the continued improvement in labor market conditions in recent months driven by strong demand for workers.,120,1,hawkish
Participants expected economic activity to contract sharply in the fourth quarter of 2008 and in early 2009.,121,0,dovish
Participants expected that fiscal policy would continue to be a drag on economic growth over coming quarters.,122,0,dovish
"Participants expected that, with further gradual increases in the federal funds rate, economic activity would expand at a solid rate during the remainder of this year and a moderate pace in the medium term, and that labor market conditions would remain strong.",123,1,hawkish
"Participants generally agreed that the drag on U. S. economic activity from the appreciation of the dollar since the summer of 2014 and the slowdown in foreign economic growth, particularly in emerging market economies, was likely to continue to depress U. S. net exports for some time.",124,0,dovish
"Participants generally expected that, over the medium term, real economic activity would increase at a pace sufficient to lead to a further gradual decline in the unemployment rate toward levels consistent with the Committee's objective of maximum employment.",125,1,hawkish
"Participants judged that an appropriate firming of the stance of monetary policy, along with an eventual waning of supply–demand imbalances, would help to keep longer-term inflation expectations anchored and bring inflation down over time to levels consistent with the Committee's 2 percent longer-run goal.",126,1,hawkish
Participants pointed to potential interactions between financial stresses and the housing market contraction as the primary source of continuing downside risks to growth.,127,0,dovish
"Participants' Views on Current Conditions and the Economic Outlook In conjunction with this FOMC meeting, meeting participants--the 7 members of the Board of Governors and the presidents of the 12 Federal Reserve Banks, all of whom participate in the deliberations of the FOMC--submitted their assessments of real output growth, the unemployment rate, inflation, and the target federal funds rate for each year from 2013 through 2015 and over the longer run, under each participant's judgment of appropriate monetary policy.",128,2,neutral
"Participants' Views on Current Conditions and the Economic Outlook In conjunction with this FOMC meeting, members of the Board of Governors and Federal Reserve Bank presidents submitted their projections of the most likely outcomes for real GDP growth, the unemployment rate, inflation, and the federal funds rate for each year from 2015 through 2018 and over the longer run, conditional on each participant's judgment of appropriate monetary policy.",129,2,neutral
"Particularly in light of persistent low readings on inflation and from indicators of inflation expectations along with the risks to the U. S. outlook associated with global economic developments, he noted that a policy rate reduction at the current meeting would help re-center inflation and inflation expectations at levels consistent with the Committee's symmetric 2 percent inflation objective and simultaneously provide some insurance against unexpected developments that could slow U. S. economic growth.",130,0,dovish
"Real residential investment appeared to have declined again in the fourth quarter, likely reflecting in part decreases in the affordability of housing arising from both the net increase in mortgage interest rates over the past year and ongoing, though somewhat slower, house price appreciation.",131,0,dovish
"Real yields increased more than their nominal counterparts, while inflation compensation implied by Treasury Inflation-Protected Securities declined.",132,0,dovish
Several members noted the benefits of accumulating further information that could help clarify the contours of the outlook for economic activity and inflation as well as the need for further policy action.,133,2,neutral
Several participants stated that such risks should not inhibit the Committee from pursuing its mandated objectives for inflation and employment.,134,2,neutral
Several saw that outlook as depending importantly on continued strengthening of the labor market or on an above-trend pace of economic activity.,135,1,hawkish
"Since the previous FOMC meeting, spreads on municipal bonds narrowed substantially, on net, moving near levels observed for several years before the pandemic, as investor demand exhibited some recovery over much of the period from earlier weak levels.",136,2,neutral
"Some members observed that while slower growth in consumer spending was the most probable forecast, they saw an upside risk from the wealth effects of the large rise that had occurred in the value of stock market holdings.",137,2,neutral
Some participants also noted that recent readings on some survey measures of consumers' inflation expectations had declined or stood at historically low levels.,138,0,dovish
Some participants judged that a less accommodative future stance of policy would likely be warranted and that the Committee should convey a strong commitment to address elevated inflation pressures.,139,1,hawkish
"Staff Review of the Financial Situation The decision by the FOMC to keep the target range for the federal funds rate unchanged at the December meeting and its retention of the ""extended period"" language in the statement were widely anticipated by market participants and elicited little price response.",140,0,dovish
"Strong fundamentals, including low interest rates, wide profit margins, and a high level of liquid assets, were seen as supporting expenditures on software and equipment going forward.",141,0,dovish
"Subsequently, the expected future path of monetary policy dropped amid increasing concerns about the health of financial institutions.",142,0,dovish
"The Committee also noted in March that although output had continued to expand at a solid pace, new hiring had lagged, and increases in core consumer prices were muted and expected to remain low.",143,0,dovish
"The Committee will continue to monitor economic and financial developments and will act as needed to promote sustainable economic growth and price stability. """,144,2,neutral
"The U. S. trade deficit in goods and services widened substantially in January and February from its fourth-quarter average, with exports falling sharply and imports rising strongly.",145,2,neutral
The available data for October suggested that the contribution of the change in net exports to real GDP growth in the fourth quarter would be much less negative than the drag of nearly 2 percentage points in the third quarter.,146,2,neutral
The average rate of growth of CRE loans at banks continued to be strong in October and November.,147,2,neutral
"The course of underlying inflation pressures was more difficult to gauge, however.",148,2,neutral
The disruptions to global economic activity had significantly affected financial conditions and impaired the flow of credit to U. S. households and businesses.,149,2,neutral
"The drop in the unemployment rate over the past year, while welcome and significant, could overstate the degree of improvement in labor market conditions, in part because of the decline in the labor force participation rate.",150,1,hawkish
"The faster pace of real GDP growth was expected to be supported by an easing in the restraint from changes in fiscal policy, increases in consumer and business confidence, further improvements in credit availability and financial conditions, and a pickup in the rate of foreign economic growth.",151,1,hawkish
The lagged effects of the substantial easing in monetary policy this year and the fiscal stimulus measures already enacted into law were expected to buttress demand and economic recovery over the next year.,152,0,dovish
"The longer-run projections represent each participant's assessment of the rate to which each variable would be expected to converge, over time, under appropriate monetary policy and in the absence of further shocks to the economy.",153,2,neutral
"The members viewed the outlook for core price inflation as still quite benign, largely reflecting the ample availability of labor and other producer resources to accommodate rising economic activity and the favorable prospects for further robust growth in productivity.",154,0,dovish
The moderation reflected lower growth in most major expenditure sectors.,155,0,dovish
"The nominal deficit on U. S. trade in goods and services widened substantially in July, reflecting both a decline in exports and a rise in imports.",156,0,dovish
"The pace of inventory liquidation was thought likely to moderate in coming quarters and subsequently turn to accumulation as inventories came into better balance with sales, with increasingly positive implications for overall production and economic activity.",157,1,hawkish
"The pace of real GDP growth was forecast to be faster over the second half of this year than in the first half, primarily reflecting a modest increase in the rate of growth of private domestic final purchases and a sizable turnaround in inventory investment.",158,1,hawkish
"The pickup in demand had yet to materially narrow currently wide margins of idle labor and other resources, and these margins along with the uncertainties that still surrounded current forecasts of robust economic growth suggested that an accommodative monetary policy might remain desirable for a considerable period of time.",159,0,dovish
"The real federal funds rate probably was not greatly out of line with its appropriate level, and the rise in longer-term interest rates and the exchange rate meant that financial conditions were now exerting more restraint than earlier this year.",160,1,hawkish
"The recent depreciation of the dollar, while perhaps putting some upward pressure on prices, would damp the deterioration in net U. S. exports.",161,1,hawkish
"The risks to the forecast for real GDP were seen as tilted to the downside, reflecting the staff's assessment that monetary policy appeared to be better positioned to offset large positive shocks than substantial adverse ones.",162,0,dovish
The staff forecast prepared for this meeting suggested that the expansion in economic activity would slow in coming quarters to a pace somewhat above that of the economy's estimated potential and would moderate a bit further in 1998.,163,1,hawkish
"The staff raised slightly its projection for inflation during the second half of this year, as the upward pressure on consumer prices from earlier increases in import and commodity prices was expected to persist a little longer than previously anticipated.",164,1,hawkish
The staff viewed the extent of uncertainty around its June projections for real GDP growth and the unemployment rate as roughly in line with the average over the past 20 years.,165,2,neutral
The staff's forecast for core PCE price inflation this year was revised down a little in response to recent data.,166,0,dovish
"The unemployment rate was likely to remain low going forward, and various participants remarked that there were some indications that further strengthening in overall labor market conditions was possible without creating undesirable pressures on resources.",167,1,hawkish
The unwinding in the early months of 1997 of special factors that had boosted net exports in the fourth quarter of 1996 was offsetting some of the effects on production of the persisting strength in domestic demand.,168,2,neutral
"The vote also encompassed approval of the sentence below for inclusion in the press statement to be released shortly after the meeting: Against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the Committee believes that the risks are weighted mainly toward conditions that may generate heightened inflation pressures in the foreseeable future.",169,1,hawkish
"There were more reports that rising wages and benefits and increasing costs of nonlabor inputs could no longer be fully offset by improvements in productivity, and more business firms appeared to be attempting or considering increases in their selling prices to maintain or improve their profit margins.",170,1,hawkish
These members expected that the target range would be maintained at this level until they were confident that the economy had weathered recent events and was on track to achieve the Committee's maximum employment and price stability goals.,171,2,neutral
"These policy moves would therefore prevent the far greater economic pain associated with entrenched high inflation, including the even tighter policy and more severe restraint on economic activity that would then be needed to restore price stability.",172,1,hawkish
They also noted that even with this additional firming the risks were still weighted mainly in the direction of rising inflationary pressures.,173,1,hawkish
They noted that the realization of such a development could make it harder for the Committee to achieve 2 percent inflation over the longer run.,174,1,hawkish
This action was taken against the backdrop of heightened concerns and uncertainty created by the recent terrorist attacks and their potentially adverse effects on asset prices and the performance of the economy.,175,2,neutral
"This policy preference was based on expectations of growth in business activity at a pace averaging in the vicinity of the economy's potential, a perception among the members that the risks to such an outlook were more balanced than earlier, and anticipations that under these circumstances inflation would remain constrained.",176,0,dovish
"To support continued progress toward maximum employment and price stability, the Committee expects that a highly accommodative stance of monetary policy will remain appropriate for a considerable time after the asset purchase program ends and the economic recovery strengthens.",177,0,dovish
"Total nonfarm payroll employment rose solidly in July and August, with strong gains in private-sector jobs and declines in government employment.",178,1,hawkish
Trends in wages and prices have remained stable in recent months.,179,0,dovish
"While a number of members saw some slight further disinflation as the most plausible outcome, no one expected a material change in inflation.",180,0,dovish
"While accommodative financial conditions and reduced income tax rates should continue to undergird consumer spending and the data on retail sales for July displayed relatively impressive gains, negative wealth effects from falling stock market prices, declining payrolls, and sluggish income gains--should they persist--might well depress consumer expenditures over coming months.",181,0,dovish
"While favorable financing would help to sustain the housing sector, members anticipated that any further impetus to growth from that sector was likely to be limited.",182,0,dovish
"While more moderate growth in consumer spending for durable goods seemed likely after an extended period of robust expansion, these favorable factors suggested that the risks of a different outcome were tilted in the direction of faster-than-projected expansion.",183,1,hawkish
"While numerous contacts reported generally disappointing holiday sales in an environment of atypically large and widespread discounting, a surge in motor vehicle sales in December fostered by aggressive sales incentives and some pickup in retail sales late in the holiday season helped to sustain moderate overall growth in consumer spending through the year-end.",184,2,neutral
"While participants generally felt that the pace of underlying productivity growth remained robust, careful attention would need to be paid to developments regarding unit labor costs and profit margins.",185,1,hawkish
"While participants viewed the downside risks to their forecasts of economic activity over the projection period as having diminished, their assessment of the most likely outcomes for economic activity and inflation over the projection period was not greatly changed.",186,1,hawkish
"While there were no current indications that inflation might be accelerating and no policy move was called for at this time, the members saw a need for continuing vigilance.",187,0,dovish
"With inventories lower, firms were beginning to raise production to meet at least a portion of increased demand, and this adjustment was expected to make an important contribution to economic recovery in the fourth quarter of the year and, to a lesser extent, in 2010 as well.",188,1,hawkish
"With regard to the consensus in favor of moving from an assessment of risks weighted toward rising inflation to one that was weighted toward economic weakness, with no intermediate issuance of a balanced risks assessment, some members observed that such a change was likely to be viewed as a relatively rapid shift by some observers.",189,0,dovish
"With the Committee in the process of reviewing its monetary policy strategies and communication, and no additional accommodation being provided at this meeting, a few members indicated that they could support the Committee's decision even though they had not favored recent policy actions.",190,1,hawkish
"With the restraint from fiscal policy assumed to increase next year, the staff projected that increases in real GDP would not significantly exceed the growth rate of potential output in 2013.",191,0,dovish
"Yields on longer-term inflation-indexed Treasury securities, which are relatively illiquid, rose more sharply than did those on nominal securities.",192,1,hawkish
"Yields on nominal Treasury coupon securities declined over the intermeeting period while yields on inflation-indexed Treasury securities were roughly unchanged, which left inflation compensation noticeably lower.",193,0,dovish
"""The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output.",194,2,neutral
"1 The longer-run projections represent each participant's assessment of the rate to which each variable would be expected to converge, over time, under appropriate monetary policy and in the absence of further shocks to the economy.",195,2,neutral
